"Source:","/home/user/repos/strobe-controller/strobe-controller.kicad_sch"
"Date:","Thu 07 Sep 2023 03:22:47 PM PDT"
"Tool:","Eeschema 7.0.7-7.0.7~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","37"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","Link","MPN","Manufacturer","PN","Status","Vendor","digikey","jlcpcb"
"1","4","C201, C301, C401, C501","2.2m","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn","~","","","","","","","","","","","","","","  493-1154-ND",""
"2","1","CO101","RJ45","matterwave:RJ45","matterwave:RJ45","","","","","","","","","","","","","","","",""
"3","1","D101","LED_RGBW","knob-fondler:LED_STRIP_RGBW","Connector_JST:JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical","~","","","","","","","","","","","","","","",""
"4","1","D103","D_Schottky_AKA","Device:D_Schottky_AKA","Package_TO_SOT_THT:TO-220-3_Vertical","~","","","","","","","","","","","","","","",""
"5","2","H101, H102","MountingHole","Mechanical:DIN_Rail_Adapter","MountingEquipment:DINRailAdapter_3xM3_PhoenixContact_1201578","~","","","","","","","","","","","","","","",""
"6","4","H103, H104, H105, H106","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","","","","","","","","","","","","","","",""
"7","1","J101","Power_in","Connector:Screw_Terminal_01x02","matterwave:CONN_1330710000","~","","","","","","","","","","","","","","281-4008-ND",""
"8","1","J102","LED_B","Connector:Screw_Terminal_01x02","matterwave:CONN_1330710000","~","","","","","","","","","","","","","","281-4008-ND",""
"9","2","J103, J105","LED_G","Connector:Screw_Terminal_01x02","matterwave:CONN_1330710000","~","","","","","","","","","","","","","","281-4008-ND",""
"10","1","J104","LED_R","Connector:Screw_Terminal_01x02","matterwave:CONN_1330710000","~","","","","","","","","","","","","","","281-4008-ND",""
"11","4","J202, J302, J402, J502","mono-jack","knob-fondler:mono-jack","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical","","","","","","","","","https://www.thonk.co.uk/shop/thonkiconn/","","","PJ398SM","","Thonk","",""
"12","1","Q105","BSP149","Transistor_FET:BSP129","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.infineon.com/dgdl/Infineon-BSP129-DS-v01_42-en.pdf?fileId=db3a30433c1a8752013c1fc296d2395f","","","","","","","","","","","","","","BSP149H6327XTSA1TR-ND","C534558"
"13","4","Q201, Q301, Q401, Q501","FQP30N06L","matterwave:FQP30N06L","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/FQP30N06L-D.pdf","","Discrete Semiconductor Products","https://www.onsemi.com/pub/Collateral/FQP30N06L-D.pdf","/product-detail/en/on-semiconductor/FQP30N06L/FQP30N06L-ND/1055122","MOSFET N-CH 60V 32A TO-220","FQP30N06L-ND","Transistors - FETs, MOSFETs - Single","","FQP30N06L","ON Semiconductor","","Active","","",""
"14","2","R109, R110","1k","Device:R_Small","Resistor_THT:R_Axial_Power_L48.0mm_W12.5mm_P55.88mm","~","","","","","","","","","","","","","","13-SQP10AJB-1K-ND",""
"15","4","R201, R301, R401, R501","100R","Device:R_Small","Resistor_SMD:R_0603_1608Metric","~","","","","","","","","","","","","","","","C22775"
"16","4","R202, R302, R402, R502","470k","Device:R_Small","Resistor_SMD:R_0603_1608Metric","~","","","","","","","","","","","","","","","C23178"
