Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q105,BSP149,SOT-223-3_TabPin2,89.500000,-69.250000,270.000000,top
R201,100R,R_0603_1608Metric,159.000000,-86.000000,-90.000000,top
R202,470k,R_0603_1608Metric,159.000000,-89.175000,90.000000,top
R301,100R,R_0603_1608Metric,159.000000,-102.250000,90.000000,top
R302,470k,R_0603_1608Metric,159.000000,-99.000000,-90.000000,top
R401,100R,R_0603_1608Metric,41.000000,-101.000000,90.000000,top
R402,470k,R_0603_1608Metric,41.000000,-97.750000,-90.000000,top
R501,100R,R_0603_1608Metric,41.000000,-85.500000,-90.000000,top
R502,470k,R_0603_1608Metric,41.000000,-88.750000,90.000000,top
